,VIC,NSW,QLD,WA,SA,TAS,ACT,NT,TOTAL
Mar 15,0,3,6,1,3,0,0,0,13
Mar 14,0,3,1,1,0,0,0,0,5
Mar 13,0,0,4,1,5,0,0,0,10
Mar 12,0,8,2,0,2,0,0,0,12
Mar 11,0,6,5,1,3,0,1,0,15
Mar 10,0,5,6,1,1,0,0,0,14
Mar 9,1,5,6,1,2,0,0,0,15
Mar 8,1,1,5,2,0,0,2,0,9
Mar 7,-1,2,3,1,0,0,0,0,7
Mar 6,1,3,4,2,0,0,0,0,10
Mar 5,0,11,2,0,0,0,0,0,13
Mar 4,0,4,7,0,0,0,2,0,11
Mar 3,0,6,0,1,1,0,0,0,10
Mar 2,0,3,4,0,1,0,0,0,8
Mar 1,0,3,2,0,3,0,0,0,8
Feb 28,0,5,0,0,0,0,0,0,5
Feb 27,0,6,1,0,0,0,0,0,7
Feb 26,2,4,4,0,0,0,0,1,11
Feb 25,0,7,1,0,0,0,0,0,8
Feb 24,0,1,0,0,1,0,0,0,2
Feb 23,0,4,0,1,2,0,0,0,7
Feb 22,0,1,2,1,0,0,0,0,4
Feb 21,0,3,0,1,2,0,0,0,6
Feb 20,0,1,0,0,0,0,0,1,2
Feb 19,3,2,1,0,0,0,0,0,6
Feb 18,1,0,0,0,0,0,0,0,1
Feb 17,0,4,0,0,2,0,0,0,6
Feb 16,4,1,0,0,0,0,0,0,5
Feb 15,2,0,0,0,0,0,0,0,2
Feb 14,3,2,0,0,0,0,0,1,6
Feb 13,1,2,2,0,0,0,0,0,5
Feb 12,5,2,1,0,0,0,0,0,8
Feb 11,2,3,1,1,1,0,0,0,8
Feb 10,2,4,1,2,2,0,0,0,11
Feb 9,0,2,1,0,0,0,0,0,3
Feb 8,1,3,2,0,1,0,0,0,7
Feb 7,-1,1,1,0,0,0,0,1,2
Feb 6,0,2,2,0,0,0,0,2,6
Feb 5,4,0,-2,1,1,0,0,0,4
Feb 4,3,3,0,2,0,0,0,1,9
Feb 3,-1,2,0,0,4,0,0,0,5
Feb 2,1,2,1,1,1,0,0,0,6
Feb 1,1,6,0,1,-1,0,0,0,7
Jan 31,0,3,1,0,1,0,0,0,5
Jan 30,1,2,0,3,0,0,0,0,6
Jan 29,0,3,2,1,0,0,0,0,6
Jan 28,3,3,1,1,0,0,0,0,8
Jan 27,1,2,1,2,0,0,0,0,6
Jan 26,1,1,0,1,0,0,0,0,3
Jan 25,6,3,2,0,0,0,0,0,11
Jan 24,0,3,0,2,0,0,0,0,5
Jan 23,2,1,0,2,0,0,0,1,6
Jan 22,1,-1,3,2,0,0,0,0,5
Jan 21,1,5,1,0,2,0,0,1,10
Jan 20,2,3,2,0,1,0,0,2,10
Jan 19,2,2,3,1,0,0,0,1,9
Jan 18,4,8,1,0,0,0,0,0,13
Jan 17,7,9,2,1,0,0,0,0,19
Jan 16,3,12,1,2,2,0,0,0,20
Jan 15,2,2,3,3,1,0,0,0,11
Jan 14,-2,2,4,2,0,0,0,2,8
Jan 13,3,7,2,1,2,0,0,1,16
Jan 12,0,16,3,1,0,0,0,0,20
Jan 11,1,11,4,2,1,0,0,0,19
Jan 10,6,6,0,0,0,0,0,1,13
Jan 9,1,6,0,1,2,0,0,1,11
Jan 8,1,11,9,0,3,0,0,0,24
Jan 7,0,6,2,2,0,0,0,1,11
Jan 6,3,5,1,3,1,0,0,0,13
Jan 5,4,8,2,1,-2,0,0,6,19
Jan 4,4,7,5,1,4,0,0,0,21
Jan 3,3,11,0,1,-1,0,0,0,14
Jan 2,12,19,2,3,0,0,0,6,42
Jan 1,8,5,0,2,4,0,0,0,19
Dec 31,3,17,3,2,1,0,0,1,27
Dec 30,1,25,2,0,3,0,0,0,31
